person_id,product_id
1,4
1,3
1,1
2,4
2,5
2,2
3,2
3,5
3,3
3,4
4,1
4,3
4,2
5,1
5,2
6,3
6,2
6,1
21,5
21,2
21,1
22,3
22,2
23,5
23,1
24,4
24,3
24,2
24,5
25,2
25,1
25,5
25,3
26,4
26,1
78,4
78,2
79,2
79,1
79,5
80,3
80,4
80,2
81,3
81,1
81,5
82,5
82,3
82,4
82,1
83,4
83,3
83,2
86,5
86,2
87,1
87,4
88,4
88,1
88,2
88,5
89,1
89,5
90,4
90,2
90,1
91,3
91,2
91,5
103,2
103,4
103,5
104,5
104,4
105,4
105,3
105,5
105,2
106,3
106,1
106,2
107,1
107,5
107,2
108,3
108,1
108,5
108,4
117,4
117,1
117,3
118,1
118,2
118,3
119,5
119,3
119,1
120,1
120,5
121,3
121,5
121,2
122,1
122,3
127,1
127,3
128,4
128,3
128,5
129,5
129,2
129,1
129,3
130,5
130,2
130,4
131,4
131,3
132,5
132,1
132,2
171,5
171,3
171,4
171,1
172,1
172,2
172,3
173,3
173,4
173,5
174,5
174,4
174,2
175,2
175,5
176,2
176,4
176,3
241,5
241,3
241,1
241,2
242,5
242,4
242,3
242,2
243,4
243,3
243,1
244,3
244,1
244,2
245,1
245,5
245,4
246,1
246,4
246,3
246,2
263,3
263,4
263,2
264,3
264,4
264,5
265,1
265,2
265,4
266,3
266,1
266,5
267,5
267,2
267,1
268,1
268,2
268,4
308,3
308,2
308,1
309,5
309,3
309,2
310,2
310,1
310,4
310,5
311,1
311,2
311,3
311,5
312,5
312,1
312,4
313,4
313,3
313,2
341,4
341,2
341,1
342,3
342,1
342,5
342,4
343,1
343,4
344,3
344,5
344,2
345,2
345,1
346,2
346,1
346,3
401,5
401,4
401,2
402,4
402,3
402,2
403,2
403,1
403,3
404,1
404,4
404,3
405,4
405,2
405,5
406,4
406,5
406,3
406,1
442,5
442,4
442,3
443,3
443,5
443,2
444,4
444,5
444,3
445,3
445,1
446,1
446,4
446,2
446,5
447,1
447,3
480,3
480,4
480,2
480,5
481,2
481,3
481,1
482,4
482,2
482,3
482,5
483,3
483,4
484,3
484,5
484,1
485,4
485,5
485,2
528,3
528,1
529,3
529,5
529,1
529,2
530,5
530,3
530,2
531,4
531,3
532,5
532,2
532,3
533,3
533,4
555,5
555,3
555,4
555,2
556,1
556,2
556,3
557,5
557,3
557,4
557,2
558,5
558,1
558,2
559,5
559,4
559,1
560,3
560,1
560,5
560,2
580,4
580,3
580,2
581,4
581,2
581,5
582,1
582,5
582,4
583,3
583,1
583,2
584,2
584,5
584,1
585,2
585,3
614,1
614,3
614,2
615,3
615,5
615,4
615,2
616,1
616,3
616,2
616,5
617,5
617,1
617,2
617,4
618,1
618,3
618,4
619,4
619,2
619,3
674,2
674,4
674,5
675,5
675,1
675,2
676,5
676,2
676,3
677,2
677,1
677,4
678,1
678,2
679,2
679,5
679,3
679,1
726,2
726,1
726,5
727,5
727,1
727,4
728,4
728,2
728,5
729,1
729,3
729,2
730,5
730,3
730,1
731,1
731,5
731,4
745,5
745,1
746,2
746,3
746,4
747,1
747,5
747,4
748,2
748,5
749,4
749,1
749,5
749,3
750,4
750,5
750,2
788,2
788,4
789,3
789,4
789,2
790,3
790,2
791,3
791,1
791,5
792,4
792,5
792,3
793,2
793,3
793,4
799,5
799,2
800,4
800,3
800,2
800,5
801,3
801,4
801,5
802,3
802,5
802,4
803,4
803,3
803,5
804,2
804,5
804,4
820,5
820,2
820,4
820,3
821,4
821,2
822,3
822,5
823,3
823,1
823,5
823,2
824,4
824,1
824,3
824,2
825,5
825,4
888,4
888,5
888,1
888,3
889,3
889,4
889,1
890,1
890,4
890,2
891,1
891,4
891,2
892,3
892,5
892,4
893,2
893,1
893,5
941,4
941,5
941,3
942,4
942,2
943,3
943,2
943,4
944,3
944,4
944,2
945,2
945,1
945,4
946,1
946,2
946,4
995,2
995,3
996,1
996,5
997,5
997,4
998,3
998,5
998,1
999,2
999,3
999,1
999,4
1000,3
1000,2
1000,5
1009,4
1009,1
1009,5
1010,5
1010,1
1010,4
1011,3
1011,5
1011,4
1011,1
1012,4
1012,5
1012,3
1013,5
1013,1
1013,3
1014,1
1014,2
1014,4
1014,3
1045,3
1045,4
1045,1
1046,1
1046,2
1046,5
1046,4
1047,2
1047,3
1047,5
1048,4
1048,3
1049,2
1049,3
1049,5
1050,1
1050,2
1062,1
1062,5
1062,2
1063,4
1063,2
1063,1
1063,5
1064,4
1064,2
1064,3
1065,5
1065,4
1065,3
1066,4
1066,1
1066,2
1066,3
1067,4
1067,1
1067,3
1107,1
1107,2
1108,2
1108,5
1108,3
1109,2
1109,4
1110,1
1110,3
1110,2
1111,4
1111,1
1111,5
1112,5
1112,3
1112,1
1112,2
1141,3
1141,4
1142,1
1142,5
1142,2
1143,5
1143,2
1143,1
1144,2
1144,4
1144,3
1145,5
1145,4
1145,2
1146,3
1146,1
1146,4
1153,3
1153,2
1154,5
1154,4
1154,3
1155,5
1155,3
1156,1
1156,5
1156,4
1156,2
1157,2
1157,5
1158,3
1158,5
1158,4
1161,4
1161,3
1161,2
1161,5
1162,5
1162,1
1162,4
1163,4
1163,1
1163,5
1163,3
1164,4
1164,1
1164,3
1165,1
1165,2
1166,3
1166,4
1175,3
1175,2
1175,5
1176,1
1176,4
1176,2
1177,4
1177,1
1177,5
1178,1
1178,3
1178,2
1179,5
1179,4
1179,1
1180,2
1180,3
1197,1
1197,2
1197,4
1198,5
1198,1
1198,4
1198,3
1199,1
1199,5
1199,4
1200,2
1200,5
1200,1
1201,5
1201,1
1202,3
1202,4
1260,1
1260,4
1260,3
1260,5
1261,2
1261,4
1261,5
1261,3
1262,1
1262,5
1262,2
1263,3
1263,4
1263,2
1263,1
1264,3
1264,1
1264,5
1265,5
1265,3
1317,3
1317,1
1317,4
1317,2
1318,5
1318,3
1318,2
1319,2
1319,1
1319,3
1320,5
1320,1
1321,2
1321,3
1321,5
1322,1
1322,5
1322,4
1322,3
1370,4
1370,5
1371,3
1371,1
1371,2
1372,1
1372,3
1372,5
1373,5
1373,3
1373,2
1374,4
1374,3
1374,5
1375,4
1375,5
1375,3
1383,3
1383,5
1383,2
1384,1
1384,3
1384,4
1385,5
1385,4
1385,1
1385,3
1386,5
1386,1
1387,1
1387,3
1388,5
1388,1
1388,2
1416,3
1416,2
1416,5
1417,4
1417,5
1417,3
1417,2
1418,4
1418,2
1419,1
1419,5
1419,2
1419,4
1420,2
1420,1
1420,4
1421,4
1421,1
1421,2
1447,1
1447,4
1448,4
1448,3
1448,1
1448,5
1449,2
1449,3
1449,5
1449,4
1450,3
1450,5
1451,1
1451,3
1451,4
1451,5
1452,3
1452,4
1452,5
1505,5
1505,4
1506,1
1506,4
1506,5
1507,1
1507,2
1508,3
1508,1
1508,5
1509,3
1509,5
1509,1
1509,2
1510,1
1510,3
1510,4
1513,1
1513,5
1514,3
1514,1
1515,4
1515,3
1516,5
1516,3
1517,3
1517,2
1517,5
1518,4
1544,2
1544,1
1545,3
1545,2
1545,1
1546,1
1546,2
1546,4
1546,3
1547,4
1547,5
1547,3
1547,1
1548,1
1548,5
1548,3
1549,4
1549,5
1549,2
1549,3
1554,2
1554,4
1555,5
1555,4
1555,1
1555,3
1556,1
1556,2
1556,4
1556,3
1557,2
1557,1
1557,4
1557,5
1558,3
1558,1
1558,4
1559,1
1559,5
1559,3
1559,4
1586,3
1586,4
1586,1
1586,5
1587,5
1587,1
1587,4
1587,2
1588,2
1588,4
1588,5
1589,1
1589,5
1589,2
1589,3
1590,5
1590,2
1590,1
1590,3
1591,3
1591,1
1648,4
1648,3
1648,2
1649,2
1649,3
1649,5
1650,5
1650,4
1650,2
1650,1
1651,2
1651,3
1652,1
1652,2
1652,3
1653,4
1653,3
1658,1
1658,3
1658,5
1659,4
1659,5
1659,3
1660,2
1660,5
1660,4
1660,3
1661,2
1661,3
1661,4
1662,1
1662,2
1662,5
1663,5
1663,4
1663,3
1663,1
1675,2
1675,1
1675,4
1675,5
1676,4
1676,1
1676,5
1677,5
1677,3
1677,2
1678,3
1678,2
1679,5
1679,2
1680,1
1680,3
1680,4
1680,5
1683,4
1683,5
1683,2
1684,3
1684,5
1685,5
1685,2
1685,3
1686,1
1686,4
1686,3
1687,1
1687,3
1687,2
1688,1
1688,2
1688,3
1729,4
1729,1
1729,3
1730,3
1730,2
1730,5
1730,4
1731,4
1731,1
1731,5
1732,4
1732,5
1732,2
1733,4
1733,2
1734,4
1734,3
1788,4
1788,3
1788,2
1789,5
1789,4
1789,3
1790,1
1790,3
1790,4
1790,5
1791,3
1791,1
1791,2
1792,2
1792,5
1792,1
1793,3
1793,2
1843,4
1843,1
1843,5
1843,3
1844,2
1844,3
1844,1
1845,4
1845,1
1845,3
1846,4
1846,1
